rank	freq	highest	term1	term2	norMean	mean	sum	items
0.05	2	2280	prednisone	"obsessive-compulsive disorder"	39.04	103.79	16607	160
0.05	2	2280	prednisone	"periodontitis"	39.04	103.79	16607	160
0.05	2	2280	prednisone	"schizophrenia"	39.04	103.79	16607	160
0.05	2	2280	prednisone	"temporomandibular joint disorders"	39.04	103.79	16607	160
0.05	2	2280	prednisone	"trigeminal neuralgia"	39.04	103.79	16607	160
0.05	2	2280	prednisone	"wasting syndrome"	39.04	103.79	16607	160
0.05	2	3795	cyclophosphamide	"adenomatous polyposis coli"	37.06	156.45	21903	140
0.05	2	3795	cyclophosphamide	"arthritis, reactive"	37.06	156.45	21903	140
0.05	2	3795	cyclophosphamide	"bipolar disorder"	37.06	156.45	21903	140
0.05	2	3795	cyclophosphamide	"facial pain"	37.06	156.45	21903	140
0.05	2	3795	cyclophosphamide	"gingivitis"	37.06	156.45	21903	140
0.05	2	3795	cyclophosphamide	"long qt syndrome"	37.06	156.45	21903	140
0.05	2	3795	cyclophosphamide	"macular degeneration"	37.06	156.45	21903	140
0.05	2	3795	cyclophosphamide	"metabolic syndrome x"	37.06	156.45	21903	140
0.05	2	3795	cyclophosphamide	"osteoarthritis"	37.06	156.45	21903	140
0.05	2	3795	cyclophosphamide	"parkinson disease"	37.06	156.45	21903	140
0.05	2	3795	cyclophosphamide	"prostatic hyperplasia"	37.06	156.45	21903	140
0.05	2	3795	cyclophosphamide	"stomatitis, aphthous"	37.06	156.45	21903	140
0.05	2	4063	hemoglobin	"arthritis, reactive"	43.09	185.79	30841	166
0.05	2	4063	hemoglobin	"behcet syndrome"	43.09	185.79	30841	166
0.05	2	4063	hemoglobin	"endolymphatic hydrops"	43.09	185.79	30841	166
0.05	2	4063	hemoglobin	"facial pain"	43.09	185.79	30841	166
0.05	2	4063	hemoglobin	"hyperaldosteronism"	43.09	185.79	30841	166
0.05	2	4063	hemoglobin	"lymphedema"	43.09	185.79	30841	166
0.05	2	4063	hemoglobin	"muscle spasticity"	43.09	185.79	30841	166
0.05	2	4063	hemoglobin	"myotonic dystrophy"	43.09	185.79	30841	166
0.05	2	4063	hemoglobin	"premenstrual syndrome"	43.09	185.79	30841	166
0.05	2	4063	hemoglobin	"reflex sympathetic dystrophy"	43.09	185.79	30841	166
0.05	2	4063	hemoglobin	"temporomandibular joint disorders"	43.09	185.79	30841	166
0.05	2	85	tolnaftate	"dermatitis, atopic"	43.50	43.50	87	2
0.05	2	928	prednisolone	"cachexia"	39.11	84.61	13623	161
0.05	2	928	prednisolone	"heartburn"	39.11	84.61	13623	161
0.05	2	928	prednisolone	"hyperhidrosis"	39.11	84.61	13623	161
0.05	2	928	prednisolone	"hyperostosis"	39.11	84.61	13623	161
0.05	2	928	prednisolone	"long qt syndrome"	39.11	84.61	13623	161
0.05	2	928	prednisolone	"lymphedema"	39.11	84.61	13623	161
0.05	2	928	prednisolone	"myofascial pain syndromes"	39.11	84.61	13623	161
0.05	2	928	prednisolone	"obsessive-compulsive disorder"	39.11	84.61	13623	161
0.05	2	928	prednisolone	"premenstrual syndrome"	39.11	84.61	13623	161
0.05	2	928	prednisolone	"urinary retention"	39.11	84.61	13623	161
0.05	2	95	ciclesonide	"granuloma"	37.00	37.00	111	3
0.05	3	23779	insulin	"enuresis"	54.82	654.27	111880	171
0.05	3	23779	insulin	"trigeminal neuralgia"	54.82	654.27	111880	171
0.05	3	23779	insulin	"urinary incontinence, stress"	54.82	654.27	111880	171
0.06	2	1039	testosterone	"arthritis, juvenile rheumatoid"	32.57	71.36	10561	148
0.06	2	1039	testosterone	"arthritis, psoriatic"	32.57	71.36	10561	148
0.06	2	1039	testosterone	"colitis, ulcerative"	32.57	71.36	10561	148
0.06	2	1039	testosterone	"cystitis"	32.57	71.36	10561	148
0.06	2	1039	testosterone	"facial pain"	32.57	71.36	10561	148
0.06	2	1039	testosterone	"fatigue syndrome, chronic"	32.57	71.36	10561	148
0.06	2	1039	testosterone	"foot ulcer"	32.57	71.36	10561	148
0.06	2	1039	testosterone	"intestinal polyposis"	32.57	71.36	10561	148
0.06	2	1039	testosterone	"megacolon"	32.57	71.36	10561	148
0.06	2	1039	testosterone	"mixed connective tissue disease"	32.57	71.36	10561	148
0.06	2	1039	testosterone	"myositis"	32.57	71.36	10561	148
0.06	2	1039	testosterone	"polyradiculoneuropathy"	32.57	71.36	10561	148
0.06	2	1039	testosterone	"pulmonary heart disease"	32.57	71.36	10561	148
0.06	2	1039	testosterone	"stomatitis, aphthous"	32.57	71.36	10561	148
0.06	2	108	almotriptan	"vomiting"	35.33	38.00	114	3
0.06	2	1141	azathioprine	"adenomatous polyposis coli"	32.71	65.20	7954	122
0.06	2	1141	azathioprine	"amyotrophic lateral sclerosis"	32.71	65.20	7954	122
0.06	2	1141	azathioprine	"anemia, sickle cell"	32.71	65.20	7954	122
0.06	2	1141	azathioprine	"arthritis, reactive"	32.71	65.20	7954	122
0.06	2	1141	azathioprine	"diabetes insipidus"	32.71	65.20	7954	122
0.06	2	1141	azathioprine	"gingivitis"	32.71	65.20	7954	122
0.06	2	1141	azathioprine	"intraoperative complications"	32.71	65.20	7954	122
0.06	2	1141	azathioprine	"leishmaniasis"	32.71	65.20	7954	122
0.06	2	1141	azathioprine	"malaria"	32.71	65.20	7954	122
0.06	2	1141	azathioprine	"periodontitis"	32.71	65.20	7954	122
0.06	2	1141	azathioprine	"pulmonary heart disease"	32.71	65.20	7954	122
0.06	2	1141	azathioprine	"raynaud disease"	32.71	65.20	7954	122
0.06	2	1141	azathioprine	"reflex sympathetic dystrophy"	32.71	65.20	7954	122
0.06	2	1141	azathioprine	"schizophrenia"	32.71	65.20	7954	122
0.06	2	1956	arginine	"arteritis"	35.50	74.57	12005	161
0.06	2	1956	arginine	"arthritis, juvenile rheumatoid"	35.50	74.57	12005	161
0.06	2	1956	arginine	"arthritis, psoriatic"	35.50	74.57	12005	161
0.06	2	1956	arginine	"dermatitis, exfoliative"	35.50	74.57	12005	161
0.06	2	1956	arginine	"lymphedema"	35.50	74.57	12005	161
0.06	2	1956	arginine	"mixed connective tissue disease"	35.50	74.57	12005	161
0.06	2	1956	arginine	"osteonecrosis"	35.50	74.57	12005	161
0.06	2	1956	arginine	"rosacea"	35.50	74.57	12005	161
0.06	2	1956	arginine	"stomatitis, aphthous"	35.50	74.57	12005	161
0.06	2	1956	arginine	"temporomandibular joint disorders"	35.50	74.57	12005	161
0.06	2	2143	fluorescein	"amyotrophic lateral sclerosis"	31.28	90.94	12004	132
0.06	2	2143	fluorescein	"cushing syndrome"	31.28	90.94	12004	132
0.06	2	2143	fluorescein	"cystitis, interstitial"	31.28	90.94	12004	132
0.06	2	2143	fluorescein	"dermatomyositis"	31.28	90.94	12004	132
0.06	2	2143	fluorescein	"huntington disease"	31.28	90.94	12004	132
0.06	2	2143	fluorescein	"hypokalemia"	31.28	90.94	12004	132
0.06	2	2143	fluorescein	"motor neuron disease"	31.28	90.94	12004	132
0.06	2	2143	fluorescein	"oral ulcer"	31.28	90.94	12004	132
0.06	2	2143	fluorescein	"polycystic kidney diseases"	31.28	90.94	12004	132
0.06	2	2143	fluorescein	"rhinitis, allergic, seasonal"	31.28	90.94	12004	132
0.06	2	2143	fluorescein	"sleep disorders"	31.28	90.94	12004	132
0.06	2	2143	fluorescein	"substance withdrawal syndrome"	31.28	90.94	12004	132
0.06	2	2143	fluorescein	"temporomandibular joint disorders"	31.28	90.94	12004	132
0.06	2	2194	acetylcholine	"addison disease"	31.41	91.31	12875	141
0.06	2	2194	acetylcholine	"adenomatous polyposis coli"	31.41	91.31	12875	141
0.06	2	2194	acetylcholine	"arthritis, juvenile rheumatoid"	31.41	91.31	12875	141
0.06	2	2194	acetylcholine	"cytomegalovirus infections"	31.41	91.31	12875	141
0.06	2	2194	acetylcholine	"enuresis"	31.41	91.31	12875	141
0.06	2	2194	acetylcholine	"intestinal polyposis"	31.41	91.31	12875	141
0.06	2	2194	acetylcholine	"lymphedema"	31.41	91.31	12875	141
0.06	2	2194	acetylcholine	"postoperative nausea and vomiting"	31.41	91.31	12875	141
0.06	2	2194	acetylcholine	"space motion sickness"	31.41	91.31	12875	141
0.06	2	2194	acetylcholine	"spondylarthritis"	31.41	91.31	12875	141
0.06	2	2194	acetylcholine	"thalassemia"	31.41	91.31	12875	141
0.06	2	2194	acetylcholine	"urinary incontinence, stress"	31.41	91.31	12875	141
0.06	2	247	travoprost	"dry eye syndromes"	32.43	72.71	509	7
0.06	2	2497	fibrinogen	"fatigue syndrome, chronic"	33.14	107.17	14896	139
0.06	2	2497	fibrinogen	"panniculitis"	33.14	107.17	14896	139
0.06	2	2497	fibrinogen	"rosacea"	33.14	107.17	14896	139
0.06	2	2497	fibrinogen	"wasting syndrome"	33.14	107.17	14896	139
0.06	2	263	vindesine	"angina pectoris"	32.21	48.93	685	14
0.06	2	263	vindesine	"histiocytosis"	32.21	48.93	685	14
0.06	2	263	vindesine	"myocardial ischemia"	32.21	48.93	685	14
0.06	2	263	vindesine	"peripheral vascular diseases"	32.21	48.93	685	14
0.06	2	263	vindesine	"renal insufficiency, chronic"	32.21	48.93	685	14
0.06	2	263	vindesine	"vasculitis"	32.21	48.93	685	14
0.06	2	275	bivalirudin	"antiphospholipid syndrome"	32.08	46.67	560	12
0.06	2	275	bivalirudin	"leukemia"	32.08	46.67	560	12
0.06	2	275	bivalirudin	"obesity"	32.08	46.67	560	12
0.06	2	291	eptifibatide	"anemia, sickle cell"	31.09	51.91	571	11
0.06	2	291	eptifibatide	"cardiomyopathies"	31.09	51.91	571	11
0.06	2	291	eptifibatide	"obesity"	31.09	51.91	571	11
0.06	2	291	eptifibatide	"vasculitis"	31.09	51.91	571	11
0.06	2	3349	tyrosine	"arteritis"	35.69	90.63	14410	159
0.06	2	3349	tyrosine	"cushing syndrome"	35.69	90.63	14410	159
0.06	2	3349	tyrosine	"facial neuralgia"	35.69	90.63	14410	159
0.06	2	3349	tyrosine	"fibromyalgia"	35.69	90.63	14410	159
0.06	2	3349	tyrosine	"foot ulcer"	35.69	90.63	14410	159
0.06	2	3349	tyrosine	"gastroesophageal reflux"	35.69	90.63	14410	159
0.06	2	3349	tyrosine	"hyperostosis"	35.69	90.63	14410	159
0.06	2	3349	tyrosine	"hypokalemia"	35.69	90.63	14410	159
0.06	2	3349	tyrosine	"infarction"	35.69	90.63	14410	159
0.06	2	3349	tyrosine	"mixed connective tissue disease"	35.69	90.63	14410	159
0.06	2	3349	tyrosine	"oral ulcer"	35.69	90.63	14410	159
0.06	2	3349	tyrosine	"osteonecrosis"	35.69	90.63	14410	159
0.06	2	3349	tyrosine	"pelvic inflammatory disease"	35.69	90.63	14410	159
0.06	2	3349	tyrosine	"premenstrual syndrome"	35.69	90.63	14410	159
0.06	2	3349	tyrosine	"rosacea"	35.69	90.63	14410	159
0.06	2	3349	tyrosine	"stevens-johnson syndrome"	35.69	90.63	14410	159
0.06	2	3349	tyrosine	"wasting syndrome"	35.69	90.63	14410	159
0.06	2	3349	tyrosine	"xeroderma pigmentosum"	35.69	90.63	14410	159
0.06	2	3362	methotrexate	"addison disease"	32.85	126.71	16726	132
0.06	2	3362	methotrexate	"adenomatous polyposis coli"	32.85	126.71	16726	132
0.06	2	3362	methotrexate	"alcoholism"	32.85	126.71	16726	132
0.06	2	3362	methotrexate	"bipolar disorder"	32.85	126.71	16726	132
0.06	2	3362	methotrexate	"endocarditis"	32.85	126.71	16726	132
0.06	2	3362	methotrexate	"facial pain"	32.85	126.71	16726	132
0.06	2	3362	methotrexate	"fatigue syndrome, chronic"	32.85	126.71	16726	132
0.06	2	3362	methotrexate	"fibromyalgia"	32.85	126.71	16726	132
0.06	2	3362	methotrexate	"intestinal polyposis"	32.85	126.71	16726	132
0.06	2	3362	methotrexate	"lymphedema"	32.85	126.71	16726	132
0.06	2	3362	methotrexate	"pelvic inflammatory disease"	32.85	126.71	16726	132
0.06	2	3362	methotrexate	"trypanosomiasis"	32.85	126.71	16726	132
0.06	2	3362	methotrexate	"xeroderma pigmentosum"	32.85	126.71	16726	132
0.06	2	3618	heparin	"addison disease"	33.39	116.68	17385	149
0.06	2	3618	heparin	"amenorrhea"	33.39	116.68	17385	149
0.06	2	3618	heparin	"amyotrophic lateral sclerosis"	33.39	116.68	17385	149
0.06	2	3618	heparin	"arthritis, reactive"	33.39	116.68	17385	149
0.06	2	3618	heparin	"attention deficit disorder with hyperactivity"	33.39	116.68	17385	149
0.06	2	3618	heparin	"bipolar disorder"	33.39	116.68	17385	149
0.06	2	3618	heparin	"dysmenorrhea"	33.39	116.68	17385	149
0.06	2	3618	heparin	"gastroesophageal reflux"	33.39	116.68	17385	149
0.06	2	3618	heparin	"long qt syndrome"	33.39	116.68	17385	149
0.06	2	3618	heparin	"muscle spasticity"	33.39	116.68	17385	149
0.06	2	3618	heparin	"oral ulcer"	33.39	116.68	17385	149
0.06	2	3618	heparin	"sphingolipidoses"	33.39	116.68	17385	149
0.06	2	3618	heparin	"urinary incontinence"	33.39	116.68	17385	149
0.06	2	3618	heparin	"urinary retention"	33.39	116.68	17385	149
0.06	2	3618	heparin	"xeroderma pigmentosum"	33.39	116.68	17385	149
0.06	2	379	tirofiban	"diabetes mellitus, type 2"	35.30	68.10	681	10
0.06	2	3931	adenosine	"alopecia"	35.04	100.20	15731	157
0.06	2	3931	adenosine	"eating disorders"	35.04	100.20	15731	157
0.06	2	3931	adenosine	"intestinal polyposis"	35.04	100.20	15731	157
0.06	2	3931	adenosine	"polyradiculoneuropathy"	35.04	100.20	15731	157
0.06	2	3931	adenosine	"postoperative nausea and vomiting"	35.04	100.20	15731	157
0.06	2	3931	adenosine	"temporomandibular joint disorders"	35.04	100.20	15731	157
0.06	2	3931	adenosine	"trigeminal neuralgia"	35.04	100.20	15731	157
0.06	2	3931	adenosine	"urinary retention"	35.04	100.20	15731	157
0.06	2	3931	adenosine	"wasting syndrome"	35.04	100.20	15731	157
0.06	2	4433	dopamine	"addison disease"	34.17	155.26	20494	132
0.06	2	4433	dopamine	"chagas disease"	34.17	155.26	20494	132
0.06	2	4433	dopamine	"cystitis"	34.17	155.26	20494	132
0.06	2	4433	dopamine	"dermatitis, seborrheic"	34.17	155.26	20494	132
0.06	2	4433	dopamine	"endocarditis"	34.17	155.26	20494	132
0.06	2	4433	dopamine	"gingivitis"	34.17	155.26	20494	132
0.06	2	4433	dopamine	"graft vs host disease"	34.17	155.26	20494	132
0.06	2	4433	dopamine	"granuloma"	34.17	155.26	20494	132
0.06	2	4433	dopamine	"histiocytosis"	34.17	155.26	20494	132
0.06	2	4433	dopamine	"lymphedema"	34.17	155.26	20494	132
0.06	2	4433	dopamine	"rhinitis, allergic, seasonal"	34.17	155.26	20494	132
0.06	2	4433	dopamine	"xeroderma pigmentosum"	34.17	155.26	20494	132
0.06	2	523	formoterol	"cardiomyopathies"	31.00	101.71	712	7
0.06	2	547	methylprednisolone	"alcoholism"	32.40	49.34	6908	140
0.06	2	547	methylprednisolone	"alzheimer disease"	32.40	49.34	6908	140
0.06	2	547	methylprednisolone	"amyotrophic lateral sclerosis"	32.40	49.34	6908	140
0.06	2	547	methylprednisolone	"cystitis, interstitial"	32.40	49.34	6908	140
0.06	2	547	methylprednisolone	"dermatitis, seborrheic"	32.40	49.34	6908	140
0.06	2	547	methylprednisolone	"metabolic syndrome x"	32.40	49.34	6908	140
0.06	2	547	methylprednisolone	"pulmonary heart disease"	32.40	49.34	6908	140
0.06	2	547	methylprednisolone	"tauopathies"	32.40	49.34	6908	140
0.06	2	547	methylprednisolone	"urinary incontinence"	32.40	49.34	6908	140
0.06	2	684	serine	"arthritis, juvenile rheumatoid"	31.74	43.62	6456	148
0.06	2	684	serine	"arthritis, psoriatic"	31.74	43.62	6456	148
0.06	2	684	serine	"dermatitis, exfoliative"	31.74	43.62	6456	148
0.06	2	684	serine	"dermatomyositis"	31.74	43.62	6456	148
0.06	2	684	serine	"facial pain"	31.74	43.62	6456	148
0.06	2	684	serine	"lymphedema"	31.74	43.62	6456	148
0.06	2	684	serine	"muscle spasticity"	31.74	43.62	6456	148
0.06	2	684	serine	"spondylitis, ankylosing"	31.74	43.62	6456	148
0.06	2	684	serine	"vomiting"	31.74	43.62	6456	148
0.06	2	855	abciximab	"diabetes mellitus, type 1"	31.57	105.14	1472	14
0.06	2	855	abciximab	"obesity"	31.57	105.14	1472	14
0.06	2	855	abciximab	"urination disorders"	31.57	105.14	1472	14
0.06	2	91	dolasetron	"fibromyalgia"	35.00	35.00	140	4
0.06	2	91	dolasetron	"intraoperative complications"	35.00	35.00	140	4
0.06	2	92	azelastine	"pulmonary fibrosis"	32.50	32.50	195	6
0.06	2	97	gallopamil	"peptic ulcer"	32.57	32.57	228	7
0.06	3	3982	interferon	"amenorrhea"	51.16	172.90	28356	164
0.06	3	3982	interferon	"endolymphatic hydrops"	51.16	172.90	28356	164
0.06	3	3982	interferon	"hiv wasting syndrome"	51.16	172.90	28356	164
0.06	3	3982	interferon	"temporomandibular joint disorders"	51.16	172.90	28356	164
0.06	3	3982	interferon	"tourette syndrome"	51.16	172.90	28356	164
0.06	3	3982	interferon	"trigeminal neuralgia"	51.16	172.90	28356	164
0.06	3	430	lumefantrine	"vomiting"	51.50	216.50	433	2
0.06	3	95	levobunolol	"blepharitis"	47.25	47.25	189	4
0.06	3	95	levobunolol	"conjunctival diseases"	47.25	47.25	189	4
0.06	3	99	imiglucerase	"osteonecrosis"	51.00	51.00	102	2
0.07	2	100	lacosamide	"substance withdrawal syndrome"	28.00	28.00	112	4
0.07	2	112	anistreplase	"vasculitis"	27.75	30.75	123	4
0.07	2	1189	thrombin	"back pain"	26.74	52.29	6222	119
0.07	2	1189	thrombin	"cystitis"	26.74	52.29	6222	119
0.07	2	1189	thrombin	"dermatomyositis"	26.74	52.29	6222	119
0.07	2	1189	thrombin	"dyskinesias"	26.74	52.29	6222	119
0.07	2	1189	thrombin	"fatigue syndrome, chronic"	26.74	52.29	6222	119
0.07	2	1189	thrombin	"hypercalcemia"	26.74	52.29	6222	119
0.07	2	1189	thrombin	"macular degeneration"	26.74	52.29	6222	119
0.07	2	1189	thrombin	"panniculitis"	26.74	52.29	6222	119
0.07	2	1189	thrombin	"polycystic kidney diseases"	26.74	52.29	6222	119
0.07	2	1189	thrombin	"sexual dysfunction, physiological"	26.74	52.29	6222	119
0.07	2	1189	thrombin	"sphingolipidoses"	26.74	52.29	6222	119
0.07	2	132	ranolazine	"hypertension"	29.78	33.33	300	9
0.07	2	134	pegaptanib	"conjunctival diseases"	29.78	37.33	336	9
0.07	2	134	pegaptanib	"myocardial ischemia"	29.78	37.33	336	9
0.07	2	137	mafosfamide	"meningitis"	29.60	37.00	185	5
0.07	2	1385	alanine	"adenomatous polyposis coli"	27.77	47.22	7177	152
0.07	2	1385	alanine	"arthritis, reactive"	27.77	47.22	7177	152
0.07	2	1385	alanine	"behcet syndrome"	27.77	47.22	7177	152
0.07	2	1385	alanine	"endolymphatic hydrops"	27.77	47.22	7177	152
0.07	2	1385	alanine	"gastroesophageal reflux"	27.77	47.22	7177	152
0.07	2	1385	alanine	"hiv wasting syndrome"	27.77	47.22	7177	152
0.07	2	1385	alanine	"hyperhidrosis"	27.77	47.22	7177	152
0.07	2	1385	alanine	"pelvic inflammatory disease"	27.77	47.22	7177	152
0.07	2	1385	alanine	"raynaud disease"	27.77	47.22	7177	152
0.07	2	1385	alanine	"sexual dysfunction, physiological"	27.77	47.22	7177	152
0.07	2	1385	alanine	"sexual dysfunctions, psychological"	27.77	47.22	7177	152
0.07	2	1385	alanine	"xeroderma pigmentosum"	27.77	47.22	7177	152
0.07	2	143	ropinirole	"epilepsy"	30.50	34.80	348	10
0.07	2	143	ropinirole	"pulmonary fibrosis"	30.50	34.80	348	10
0.07	2	143	ropinirole	"schizophrenia"	30.50	34.80	348	10
0.07	2	177	rizatriptan	"myocardial ischemia"	27.25	46.50	186	4
0.07	2	177	rizatriptan	"tension-type headache"	27.25	46.50	186	4
0.07	2	181	sotalol	"liver cirrhosis"	30.19	35.25	564	16
0.07	2	181	sotalol	"substance withdrawal syndrome"	30.19	35.25	564	16
0.07	2	197	benserazide	"tauopathies"	28.89	40.44	364	9
0.07	2	2025	risperidone	"hypokalemia"	26.87	70.13	3857	55
0.07	2	2025	risperidone	"liver cirrhosis"	26.87	70.13	3857	55
0.07	2	2025	risperidone	"lymphoma"	26.87	70.13	3857	55
0.07	2	2025	risperidone	"malaria"	26.87	70.13	3857	55
0.07	2	2025	risperidone	"migraine disorders"	26.87	70.13	3857	55
0.07	2	2025	risperidone	"peptic ulcer"	26.87	70.13	3857	55
0.07	2	2025	risperidone	"retinal degeneration"	26.87	70.13	3857	55
0.07	2	205	natamycin	"dermatitis, atopic"	27.50	53.75	215	4
0.07	2	222	trandolapril	"diabetic neuropathies"	28.06	37.56	601	16
0.07	2	232	gemtuzumab	"graft vs host disease"	26.75	59.75	239	4
0.07	2	232	gemtuzumab	"lymphoma, non-hodgkin"	26.75	59.75	239	4
0.07	2	249	phencyclidine	"parkinson disease"	28.14	41.71	584	14
0.07	2	249	phencyclidine	"vomiting"	28.14	41.71	584	14
0.07	2	255	nedocromil	"dermatitis, atopic"	28.00	53.83	323	6
0.07	2	255	nedocromil	"hypertension"	28.00	53.83	323	6
0.07	2	255	nedocromil	"pulmonary disease, chronic obstructive"	28.00	53.83	323	6
0.07	2	313	tamsulosin	"cystitis"	28.64	48.00	528	11
0.07	2	313	tamsulosin	"glaucoma"	28.64	48.00	528	11
0.07	2	313	tamsulosin	"ocular hypertension"	28.64	48.00	528	11
0.07	2	3147	norepinephrine	"behcet syndrome"	30.33	77.39	10216	132
0.07	2	3147	norepinephrine	"burning mouth syndrome"	30.33	77.39	10216	132
0.07	2	3147	norepinephrine	"conjunctival diseases"	30.33	77.39	10216	132
0.07	2	3147	norepinephrine	"endolymphatic hydrops"	30.33	77.39	10216	132
0.07	2	3147	norepinephrine	"gastritis"	30.33	77.39	10216	132
0.07	2	3147	norepinephrine	"periodontitis"	30.33	77.39	10216	132
0.07	2	3147	norepinephrine	"restless legs syndrome"	30.33	77.39	10216	132
0.07	2	3147	norepinephrine	"retinal degeneration"	30.33	77.39	10216	132
0.07	2	3147	norepinephrine	"sphingolipidoses"	30.33	77.39	10216	132
0.07	2	3147	norepinephrine	"urinary retention"	30.33	77.39	10216	132
0.07	2	330	tacrine	"depressive disorder"	28.89	80.00	720	9
0.07	2	330	tacrine	"diabetes mellitus, type 2"	28.89	80.00	720	9
0.07	2	330	tacrine	"gastroesophageal reflux"	28.89	80.00	720	9
0.07	2	335	irbesartan	"gout"	27.17	37.39	860	23
0.07	2	335	irbesartan	"hypertension, pulmonary"	27.17	37.39	860	23
0.07	2	335	irbesartan	"vasculitis"	27.17	37.39	860	23
0.07	2	356	ifosfamide	"bipolar disorder"	27.22	48.81	1318	27
0.07	2	356	ifosfamide	"encephalitis"	27.22	48.81	1318	27
0.07	2	356	ifosfamide	"hypokalemia"	27.22	48.81	1318	27
0.07	2	356	ifosfamide	"myocardial ischemia"	27.22	48.81	1318	27
0.07	2	356	ifosfamide	"peripheral vascular diseases"	27.22	48.81	1318	27
0.07	2	356	ifosfamide	"respiratory distress syndrome, adult"	27.22	48.81	1318	27
0.07	2	35	colestipol	"angina pectoris"	26.75	26.75	107	4
0.07	2	372	cysteine	"antiphospholipid syndrome"	28.54	34.05	4631	136
0.07	2	372	cysteine	"arteritis"	28.54	34.05	4631	136
0.07	2	372	cysteine	"arthritis, psoriatic"	28.54	34.05	4631	136
0.07	2	372	cysteine	"dermatitis, seborrheic"	28.54	34.05	4631	136
0.07	2	372	cysteine	"eating disorders"	28.54	34.05	4631	136
0.07	2	372	cysteine	"endolymphatic hydrops"	28.54	34.05	4631	136
